rn,id,e_bnb,d_bnb,bnb,e_bnt,d_bnt,bnt,total_net_balance_usdt
1,000005b7f7c9036618061dad1bef0efc3e2d466773025eb7c593c293a613613c,0,0,0,0,0,0,0.366341446
2,000070654b1160bd326e821b0cc67c48c063c9dd161a73fb1a0cdd33e6451fb6,0,0,0,0,0,0,0.003847502
3,0000896251a5a7b3a9667e190e1ed72264f27d7a969f13627d2bd03c160a5e3e,0.01706648,0,0.01706648,0,0,0,14.03498266
4,000092ddd2cab31762cfdb7dd6c28b8c5a7ee65a58e5a5b4786a4cca057428cc,0.52629598,0,0.52629598,0,0,0,647.8858059
5,00009a91742efdb611b3b74cc845af18d60876629df72e8c633ef73622ab1dea,9.26E-05,0,9.26E-05,0,0,0,5.501071228
6,0000b4a15114c094443b386dd99c462d8dca059a6025eea47f28a80767b4cbc2,0,0,0,0,0,0,0.773219844
7,0000d9f8021e3f37414ac76f32a60b9cf7c2e37bc5f4ecd86abdd3afc6b13078,9.55E-05,0,9.55E-05,0,0,0,1022.014146
8,00010b7c0a8b51bfa5eca14f0068670bd7fda4063f9bcac4f02c44a00144a80c,2.80E-06,0,2.80E-06,0,0,0,222.7741121
9,00011e12d41634bb82a51c96e2f74487664955d76edd844a0ae051ce37e4ce66,0,0,0,0,0,0,270.9528733
10,0001720d245def77da58ea28fa42e46d16b81c0ea6e6ef3b236ebfd7e62580b2,0,0,0,0,0,0,0
11,0002148b6d6675de3984317c1ef3d2c4946583be9fe12c25450a5fc40cd802a8,0.02253416,0,0.02253416,0,0,0,2.964576051
12,000215edb35f810ccb3476b68fad70a171a00ecdd0b8812b1214e016595dbafe,0.16073946,0,0.16073946,0,0,0,39.82527087
13,000224a45d4f2c48b77f6e504a0296fdf23e28e2e0495c82a056373050e25894,0.0123109,0,0.0123109,0,0,0,1.612459765
14,00027200efc539a91b34371884391a2d7cb057333148e48fc946337186caac52,0,0,0,0,0,0,2.363008589
15,0002cea23945900449d332e25a5be1b03cedce9c2aba750f81102966ff7af4b6,0,0,0,0,0,0,11.29583484
16,0003e0e22e794f36dba0c8f00f0ec17af248baf5005264d3bf4b0a554fda9446,9.08E-05,0,9.08E-05,0,0,0,0.813421134
17,00041fc9629281b8fe9521eb88006b95ff0562e4ef105e70328fe6385d648040,0,0,0,0,0,0,21.68725221
18,0004ba1653399af922b2e9424dfa0e5a9b329d63c71f3c838f2c593281161ad2,0.00084674,0,0.00084674,0,0,0,8.852705358
19,0004f6c3d5b6d41a13d2a71d5a0adc1d2b8d612d6eaeba64d00b957d1f7c71fc,0.00240802,0,0.00240802,0,0,0,0.849504742
20,0004f7952e26f970fea76a9b6157af055647bd562438a1f010b32db98b79096e,0.0003645,0,0.0003645,0,0,0,0.047366775
21,0004ff23ceb897d1200dc92dbf8ecf7a89fd51d22acd20a4933442de06c807f2,1.68E-06,0,1.68E-06,0,0,0,1.627434826
22,0005234dd23da88ebc794d6591d52df4e5bd08b929df7ef235344c771505127c,0,0,0,0,0,0,2.992302309
23,0005760363ca2e43896f8e64a974be5167df9832d7564a8d2683a72131a1c9fa,720.5578161,0,720.5578161,0,0,0,127615.7951
24,00058c637579b342d1436f3bdd33c83f62a558a82956f8ba4527a04efc7e655a,0.01477534,0,0.01477534,0,0,0,1315.178789
25,0005da8b39a98c2fc28f82ff21522b4a03beda6943772aa6f4adb0e3aa7772a0,0,0,0,0,0,0,0.137293036
26,0006290bbe6fb20002d94d97fc619493dcf8e3992848f4baf6c731f0a06cb36a,0,0,0,0,0,0,0.093944169
27,0006665df1b586804a7d5a0916eb357f8d42c32d5ae45f68388b5c2edb78b47c,0,0,0,0,0,0,26.2179495
28,00067654eee847108ddd6034ba6f329b4e681a5a53cdfcdccd47b3609a1188f8,0,0,0,0,0,0,2.824836445
29,0006b1aa471a9cd5aa824ccb1e20852e528128bf3d78a963e7d9b355c906d056,56.19603154,0,56.19603154,0,0,0,55386.50477
30,0006c270e94b13dd5f6cf2c5279370d858a0f5ae8a4fc7b712606ea194f52c6a,3.82E-05,0,3.82E-05,0,0,0,2.883050341
31,0006eca2bdcb0c27f363e91035cf93c7957fc9c7cd148302efbe0d3abfcb8904,0,0,0,0,0,0,65.06008855
32,00074b5c88bdb80a30858af7297068c32c138959488084896b71def38a6e0fc2,0,0,0,0,0,0,0
33,0007c6f6b4e78cfdb643d98a62c98bcbe9f47627696598f7dbed35d65b9dd4a2,0,0,0,0,0,0,0.02539064
34,000813ccc647a5b5ba775b4a00938a6af75ca6ec1e438b175f2dceb9487c642e,0,0,0,0,0,0,4.484013217
35,00081470b68a88a67e21d169aaa9827f5efca76320e912f68997d187018b4b60,0,0,0,0,0,0,1124.892336
36,000837afb3045e7825129546f3865dc0a9426e902f869faf4d91a4bdc49fceee,0,0,0,0,0,0,8.927000906
37,0008398446aeac896729bad3b05cb28c90b729b2b5263f407cb5305ecf8212ea,1.85E-05,0,1.85E-05,0,0,0,208.8307402
38,000853bc152d507c054b344a6f7c3e3415fcdc35462e75824ab5715ea699f330,0,0,0,0,0,0,19.85806313
39,0008542f75898177ae49bcc496121ae73ec17b4fd749f6ead5c9c108ce9df5f2,2.27E-05,0,2.27E-05,0,0,0,442.0210532
40,00089e961a1628888907889914124260d33023af813d5ac0e4b891ef17e7733a,0,0,0,0,0,0,47.7852545
41,0008e6903a35ed48c72c04b1324eca95b233b542617f944bd8f01b05a0cf7de6,0.28785016,0,0.28785016,0,0,0,3267.940657
42,0008f090c9307ff27d542836bfb51652ec9d22fbad9b9c940244e35e6de5e1de,8.78E-05,0,8.78E-05,0,0,0,4.929760595
43,0009081419e7262a88b3019e1fdd0a488b0a762aa549c0c0e91078a002a7a206,7.78E-06,0,7.78E-06,0,0,0,0.469425263
44,000917c04699c81ca29ee49307c0fd2f86caa471dbd447eec7b52c5df5d5c50c,0.00050472,0,0.00050472,0,0,0,92.93000786
45,00091ba291fb5091098e65650278a1780dcc32bee221884a3b8cb295fa7a797c,0.0035165,0,0.0035165,0,0,0,2106.882507
46,00095161cba253b8757fa604f253fd176e0bc441b09d76bd29054ab0717dd164,5.50E-05,0,5.50E-05,0,0,0,8487.618035
47,00096f5f6c5a2eaad2f94ff3f505eaea3f77ba4e457b16b495e1a5ffd84e7876,0,0,0,0,0,0,35.62236644
48,0009e7a03a5c3c08c1e4d44a2b08f5bdc2819664b4596a76cf1e29ca675bebea,9.63E-05,0,9.63E-05,0,0,0,0.523281405
49,0009ff72eabe1d16968c21232ee87c2f860c95003be59bda6be9ae24574f0830,2.6924214,0,2.6924214,0,0,0,406.5297214
50,000a2b739a37a58ebebf0e680b01e71fc9a86d2bf9c63275bb46b49790cf262c,0,0,0,0,0,0,1608.243402
51,000a50119ed82290da967af491356367a3d8a708b2323421a0c9e588a2f852ae,0.42608056,0,0.42608056,0,0,0,419.8895229
52,000af006d5d8d752a53e691d7fc1ea42be9dc6031e1229a0e3f78687ce8f79de,0,0,0,0,0,0,0.120327008
53,000af55b595f5a177df647af8ddc8429f71bf86aafae23301a612c8e15f23028,8.64E-06,0,8.64E-06,0,0,0,0.002251242
54,000ba4794d858f3fdff9d5841389e4a55f02cb50869b5c535410d98304c75b02,0,0,0,0,0,0,0
55,000bdecbf64fef36826a64b7ab73bb4e09e31086be1299506a10d18f1d144c70,0,0,0,0,0,0,0
56,000c07055aa7e6f8de63b30ff276ed0b063ef0e40e18014f12b7368508639a1a,0,0,0,0,0,0,1.399463395
57,000c30cd21b583282b80f14f8c0591f79fe3d2b1f8847ed606e8eb810c96601c,2.00E-08,0,2.00E-08,0,0,0,12013.28733
58,000cda30d6cd9c5f27783da2d4e14cd814ba3e330c423820c8d4c8aa0cdc8c1a,0.00036978,0,0.00036978,0,0,0,0.094919376
